               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.027334,           0.0068815,           0.0011551,             0.95187,              0.9697,             0.98086,             0.67346,            0.024055,            0.005849,          0.00050797,            0.004357,            0.004357,            0.004357
                  59,            0.027649,           0.0068239,           0.0010281,             0.95369,             0.96726,             0.98298,             0.64424,            0.023142,           0.0058208,           0.0004774,            0.004258,            0.004258,            0.004258
                  60,            0.027721,           0.0068164,           0.0012589,             0.96861,             0.96592,             0.98515,             0.65223,            0.023881,           0.0059552,          0.00052967,            0.004159,            0.004159,            0.004159
                  61,            0.026963,           0.0068915,           0.0010368,             0.94799,             0.97102,             0.98496,             0.67006,            0.026379,           0.0061729,          0.00048039,             0.00406,             0.00406,             0.00406
                  62,            0.026775,           0.0066737,           0.0010175,             0.96337,             0.97528,             0.98464,             0.67398,            0.023693,           0.0058149,          0.00051756,            0.003961,            0.003961,            0.003961
                  63,            0.026931,           0.0068157,            0.001453,             0.96821,             0.96296,             0.98576,             0.66716,            0.024169,           0.0058112,          0.00063932,            0.003862,            0.003862,            0.003862
                  64,            0.026752,           0.0068148,           0.0012652,             0.95468,             0.96994,             0.98306,             0.67307,            0.023338,           0.0057958,          0.00049281,            0.003763,            0.003763,            0.003763
                  65,            0.026998,           0.0068567,           0.0012513,             0.95245,             0.97552,             0.98289,             0.67543,            0.023616,           0.0059335,           0.0005367,            0.003664,            0.003664,            0.003664
                  66,            0.026999,           0.0066858,          0.00091675,             0.96265,             0.97659,             0.98555,             0.66416,            0.023711,           0.0057693,          0.00045612,            0.003565,            0.003565,            0.003565
                  67,            0.026791,           0.0064979,          0.00081181,             0.95873,             0.97093,             0.98593,             0.69445,            0.023349,            0.005752,          0.00044319,            0.003466,            0.003466,            0.003466
                  68,            0.026011,           0.0067795,          0.00094527,             0.96004,             0.97311,             0.98553,             0.67533,            0.023736,           0.0057973,          0.00045384,            0.003367,            0.003367,            0.003367
                  69,            0.026271,            0.006437,          0.00098663,             0.96772,             0.96929,             0.98564,             0.66304,            0.023625,           0.0058331,          0.00044481,            0.003268,            0.003268,            0.003268
                  70,            0.026445,            0.006692,          0.00088115,             0.95989,             0.97955,             0.98649,             0.68327,            0.023605,           0.0058166,          0.00044645,            0.003169,            0.003169,            0.003169
                  71,            0.026033,           0.0065873,           0.0010351,              0.9576,             0.95185,             0.97996,             0.66786,             0.02521,           0.0067093,          0.00069926,             0.00307,             0.00307,             0.00307
                  72,            0.025571,           0.0067249,           0.0010307,             0.96067,             0.97676,             0.98549,             0.68355,            0.022403,           0.0056833,          0.00040257,            0.002971,            0.002971,            0.002971
                  73,            0.025874,           0.0065579,          0.00097594,             0.95612,             0.97517,             0.98554,             0.68114,            0.022997,           0.0057289,          0.00042023,            0.002872,            0.002872,            0.002872
                  74,            0.025278,            0.006503,          0.00089614,             0.95862,             0.97457,             0.98008,             0.68498,            0.022931,           0.0056964,          0.00041382,            0.002773,            0.002773,            0.002773
                  75,            0.025407,           0.0065474,          0.00090174,              0.9623,             0.96931,             0.98351,             0.67639,            0.022993,           0.0057055,          0.00044444,            0.002674,            0.002674,            0.002674
                  76,            0.024991,             0.00646,           0.0008684,             0.95886,             0.97406,             0.98513,             0.68465,            0.023545,           0.0057841,          0.00038238,            0.002575,            0.002575,            0.002575
                  77,             0.02513,           0.0063999,          0.00084125,               0.951,             0.96728,             0.98102,              0.6802,            0.023117,           0.0057142,          0.00039607,            0.002476,            0.002476,            0.002476
                  78,            0.025375,           0.0065444,           0.0009064,             0.96438,             0.97862,              0.9825,             0.67583,            0.022543,           0.0056208,           0.0003419,            0.002377,            0.002377,            0.002377
                  79,            0.024416,           0.0062957,          0.00073889,             0.96172,             0.97922,             0.98537,             0.69026,            0.022209,           0.0056493,          0.00031639,            0.002278,            0.002278,            0.002278
